Description:,"Celsius-based cooling degree days with base temperatures at and around 22 C"
Source:,"www.degreedays.net"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"Milano / Linate, Italy (9.26E,45.46N)"
Station ID:,LIML
,(Column titles show the base temperature in Celsius)
Month starting,CDD 19,CDD 19.5,CDD 20,CDD 20.5,CDD 21,CDD 21.5,CDD 22,CDD 22.5,CDD 23,CDD 23.5,CDD 24,CDD 24.5,CDD 25,% Estimated
2022-09-01,84.3,75.1,66.6,58.7,51,44.5,38.1,33.1,28.1,23.6,19.8,16.3,13.3,0
2022-10-01,24.8,20,15.8,12.1,8.8,6.9,4.3,2.7,1.4,0.8,0.1,0,0,0
2022-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-01,0.3,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0
2023-03-01,1.8,1.4,0.9,0.5,0.2,0.2,0,0,0,0,0,0,0,0
2023-04-01,6.3,4.8,3.1,1.9,1.1,0.7,0.3,0.1,0,0,0,0,0,0
2023-05-01,45.5,39.9,34.4,29.9,25.6,21.8,18.3,15.3,12.3,10,7.8,5.8,4,0
2023-06-01,145,132.5,120.3,108.8,97.9,87.9,78.3,69.7,61.7,54.5,47.4,41.1,35.4,0
2023-07-01,207.1,192.7,178.5,164.2,150.2,137.3,124,112.2,100.6,90.1,80,70.6,61.5,0
2023-08-01,212.1,198.2,184.7,171.6,159.1,146.3,134.2,122.4,111,100.7,90.8,81.8,72.9,0
2023-09-01,96.6,86.3,76.8,68.2,60,52.7,46.1,39.7,34.2,29,24.1,19.6,15.7,0
2023-10-01,37.9,33.1,28.6,25.1,21.8,18.7,16.1,13.4,10.9,8.9,7.1,5.6,4,0.03
2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01,0.7,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0
2024-04-01,17.8,15.1,12.7,10.6,8.8,7.2,5.6,4.5,3.3,2.5,1.9,1.3,1,0
2024-05-01,30.5,25.5,20.4,16.6,12.9,10,7.5,5.4,3.6,2.6,1.5,1,0.5,0
2024-06-01,113.6,102.7,91.6,81.6,72.4,63.4,55.4,48.1,40.9,35.1,29.3,24.5,20.3,0
2024-07-01,248.4,233.5,218.6,203.9,189.1,174.8,160.8,147.2,133.9,121.1,109,97.4,86.2,0
2024-08-01,245.8,230.3,214.9,199.8,185.1,170.7,156.7,143.2,130,117.4,105.3,94.3,83.8,0
2024-09-01,62.2,54.5,47.3,41,34.9,30.2,25.3,21.9,18.7,15.8,13.6,11.6,9.8,0
2024-10-01,3.3,2.1,1.1,0.4,0.1,0,0,0,0,0,0,0,0,0
2024-11-01,0.3,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-01,0.8,0.5,0.3,0.1,0,0,0,0,0,0,0,0,0,0
2025-04-01,12.3,10,7.9,6.2,4.5,3.3,2.4,1.8,1.2,0.9,0.7,0.4,0.2,0
2025-05-01,47.5,41.1,35.6,30.6,25.7,21.9,18,15.2,12.2,10.1,7.9,6.2,5.1,0
2025-06-01,218.3,203.7,189.2,175.1,161.4,148.7,136.1,124.4,113.2,102.5,92,82.4,73.3,0
2025-07-01,189.9,176.3,162.4,149.6,136.8,124.8,113,101.5,90.6,80.4,70.6,62.2,54,0
2025-08-01,184.1,170.3,157,144.3,132.1,120.8,109.5,98.9,88.9,79.9,71.4,63.9,56.9,0
