Description:,"Celsius-based heating degree days with base temperatures at and around 15.5 C"
Source:,"www.degreedays.net"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"Milano / Linate, Italy (9.26E,45.46N)"
Station ID:,LIML
,(Column titles show the base temperature in Celsius)
Month starting,HDD 12.5,HDD 13,HDD 13.5,HDD 14,HDD 14.5,HDD 15,HDD 15.5,HDD 16,HDD 16.5,HDD 17,HDD 17.5,HDD 18,HDD 18.5,% Estimated
2022-09-01,0.9,1.3,1.9,2.7,4.3,6.4,8.5,11.3,14.9,18.8,23.2,27.7,32.5,0
2022-10-01,3.2,4.7,7.3,10.5,13.9,18.4,23.4,28.6,34.8,41.4,49.7,58.1,67.7,0
2022-11-01,110.7,122.7,135.2,147.7,161.3,174.8,189,203.2,217.9,232.6,247.5,262.3,277.3,0
2022-12-01,219.3,234.8,250.3,265.8,281.3,296.8,312.3,327.8,343.3,358.8,374.3,389.8,405.3,0
2023-01-01,221.3,236.6,251.9,267.3,282.7,298.2,313.7,329.2,344.7,360.2,375.7,391.2,406.7,0
2023-02-01,167.2,179,191.5,204.1,217.1,230,243.5,257.2,271,284.8,298.7,312.6,326.4,0
2023-03-01,70.2,79.2,89.4,100.4,111.8,124.1,137.1,150.4,164.1,178.2,192.6,206.9,221.8,0
2023-04-01,38.9,45.6,53.3,61.2,69.8,78.7,88.4,98.1,108.4,119,130.5,142.6,154.9,0
2023-05-01,0.9,1.6,3.2,4.9,7.7,10.8,15.3,19.9,26.1,32.6,40.1,48,56.5,0
2023-06-01,0,0,0,0,0,0,0,0,0.1,0.2,0.4,1.1,2.5,0
2023-07-01,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,0
2023-08-01,0,0,0,0,0,0,0,0.1,0.5,1.1,2,2.9,4.1,0
2023-09-01,0.5,0.9,1.3,1.6,2.3,3.2,4.1,5.3,6.9,8.5,10.7,13.1,16.6,0
2023-10-01,3.3,4.4,6.9,9.7,13.7,18.6,24.7,30.8,38.7,46.5,55.3,64.3,74.2,0.03
2023-11-01,118,131,144.6,158.5,172.7,186.9,201.6,216.1,230.9,245.7,260.6,275.5,290.5,0
2023-12-01,205.4,220.1,234.9,249.8,264.9,280.1,295.2,310.3,325.6,340.9,356.3,371.6,387.1,0
2024-01-01,265.5,280.9,296.4,311.8,327.3,342.8,358.3,373.8,389.3,404.8,420.3,435.8,451.3,0
2024-02-01,109.9,122.4,135.5,148.8,162.4,176.2,190.6,204.8,219.3,233.8,248.3,262.8,277.3,0
2024-03-01,62.4,72.9,84.4,96.2,108.4,121,134.2,147.5,161.2,175.2,189.7,204.2,219,0
2024-04-01,37.3,43,49.9,57.4,65,73.6,82.6,92.2,102.1,112.5,123.6,134.7,146.5,0
2024-05-01,1.3,1.9,3.3,4.4,6.9,9.4,13.4,17.7,23.5,29.5,37.2,45.2,54.1,0
2024-06-01,0,0,0,0,0.1,0.1,0.5,1.1,2,3.1,4.9,6.6,9.2,0
2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0
2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-01,1.4,2,3,3.8,5.1,6.6,8.4,10.1,13.6,17,21.3,25.9,32.3,0
2024-10-01,5.6,7.5,10.2,13.6,17.8,22.9,29.7,37.2,47,57.5,70,83.1,96.5,0
2024-11-01,151.3,165.5,179.8,194.3,208.7,223.2,237.8,252.3,267.1,281.8,296.5,311.3,326.1,0
2024-12-01,260,275.2,290.7,306.2,321.7,337.2,352.7,368.2,383.7,399.2,414.7,430.2,445.7,0
2025-01-01,239.1,254.6,270.1,285.6,301.1,316.6,332.1,347.6,363.1,378.6,394.1,409.6,425.1,0
2025-02-01,172.3,185.9,199.7,213.6,227.6,241.6,255.6,269.6,283.6,297.6,311.6,325.6,339.6,0
2025-03-01,84.3,95,107.2,119.2,132.1,144.9,158.4,172.1,186.2,200.4,215,229.8,244.6,0
2025-04-01,18.1,22.4,28.2,34,41.1,48.5,57.2,65.7,75.2,85.4,96.5,107.9,119.6,0
2025-05-01,0.3,0.5,1.3,2.2,4.4,7.2,11.2,15.2,20.3,25.9,32.7,39.9,48.2,0
2025-06-01,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0
2025-07-01,0,0,0,0,0,0.1,0.1,0.3,0.7,1.1,1.4,2.3,3.1,0
2025-08-01,0,0,0,0,0,0.1,0.2,0.3,0.5,0.9,1.3,1.8,2.7,0
