local time (Europe/Rome),utc time,IT012E00314466
2024-01-31 01:00,2024-01-31 00:00,6657562.0
2024-02-29 01:00,2024-02-29 00:00,6294239.0
2024-03-31 01:00,2024-03-31 00:00,4726952.0
2024-04-30 02:00,2024-04-30 00:00,3204954.0
2024-05-31 02:00,2024-05-31 00:00,2864968.0
2024-06-30 02:00,2024-06-30 00:00,3552864.0
2024-07-31 02:00,2024-07-31 00:00,5842708.0
2024-08-31 02:00,2024-08-31 00:00,4888676.0
2024-09-30 02:00,2024-09-30 00:00,3329030.0
2024-10-31 01:00,2024-10-31 00:00,3135457.0
2024-11-30 01:00,2024-11-30 00:00,5792958.0
2024-12-31 01:00,2024-12-31 00:00,6763566.0
2025-01-31 01:00,2025-01-31 00:00,7872486.0
2025-02-28 01:00,2025-02-28 00:00,6621720.0
2025-03-31 02:00,2025-03-31 00:00,4487325.0
2025-04-30 02:00,2025-04-30 00:00,2987139.0
2025-05-31 02:00,2025-05-31 00:00,2946767.0
2025-06-30 02:00,2025-06-30 00:00,6047464.0
2025-07-31 02:00,2025-07-31 00:00,
2025-08-31 02:00,2025-08-31 00:00,
